"","Yield_g","TSW","Lysine.14.mgG"
"477",3.981,3.537190083,53.87894658
"478",8.158,3.477801268,57.17520622
"479",7.93,3.32527881,56.31387352
"480",7.567,2.310549777,60.09279741
"481",9.275,2.948504983,56.35598861
"482",2.883,2.212990937,57.71564451
"483",9.606,3.549429658,59.74488164
"484",5.877,3.486597938,54.97473189
"485",7.381,3.402464066,55.94368856
"486",10.654,3.344890511,58.53721225
"487",8.182,3.098989899,50.8253188
"488",6.645,1.808656036,53.53980378
"489",5.955,1.987730061,52.59260662
"490",5.291,2.7472,55.70918928
"491",6.482,2.441558442,52.89111638
"492",5.36,1.831566549,53.71656617
"493",8.631,3.340292276,60.90718266
"494",2.637,3.402702703,54.1757776
"495",9.968,3.238993711,57.01890753
"496",4.76,3.92746114,57.18500644
"497",7.58,2.349618321,56.20140041
"498",3.479,2.902120718,50.26898929
"499",8.403,3.760162602,54.10685733
"500",4.034,3.446886447,53.25854933
"501",9.336,3.389937107,60.29965366
"502",3.923,2.159836066,52.92483975
"503",4.72,1.81408776,54.77211344
"504",2.112,1.713362069,54.93553624
"505",3.318,2.3252149,50.83769575
"506",5.293,3.102912621,56.9702171
"507",7.033,2.927480916,58.77278733
"508",5.568,3.571428571,57.89738344
"509",6.967,1.976346912,50.65573355
"510",6.772,2.541009464,55.36177903
"511",5.929,2.453846154,54.66267669
"512",3.693,2.360068259,50.43133262
"513",2.293,2.885826772,51.75727401
"514",4.403,3.767220903,53.06443196
"515",8.47,3.308823529,54.95522628
"516",5.422,1.879343629,54.51696453
"517",1.781,3.208029197,52.55193984
"518",3.093,2.89738806,56.61969996
"519",5.465,2.284090909,49.60819526
"520",8.838,2.987301587,60.55221652
"521",8.147,2.839879154,54.64982816
"522",3.203,2.194904459,55.51944535
"523",4.808,2.154040404,53.09362149
"524",0.835,2.476190476,54.96284898
"525",7.546,2.389380531,52.563162
"526",4.863,2.343493552,53.21307926
"527",5.606,1.938508065,56.98522871
"528",6.883,1.768316832,51.01476446
"529",9.155,3.285433071,56.84732727
"530",4.483,1.664278403,52.35009568
"531",5.632,3.096385542,55.99865682
"532",9.01,2.652757079,57.60801004
"533",9.406,3.108159393,57.39672602
"534",8.326,2.988195616,54.3317544
"535",5.43,3.301075269,52.10649162
"536",8.682,3.218644068,57.54742604
"537",7.104,2.702791461,52.10780452
"538",3.937,4.36,55.69714139
"539",10.55,3.605603448,53.8036441
"540",9.925,3.393638171,55.99700539
"541",7.067,2.626297578,56.35153318
"542",5.702,2.251862891,53.13479011
"543",3.427,3.370307167,56.3084274
"544",7.877,2.307894737,53.2589596
"545",4.99,2.421348315,57.17513706
"546",2.517,3.297794118,58.58933215
"547",6.735,2.730569948,55.51105002
"548",2.813,2.008591065,51.48374202
"549",4.166,2.290801187,52.52522753
"550",7.726,2.798076923,56.83099741
"551",7.136,2.276752768,54.99913226
"552",4.62,2.215123859,56.48620169
"553",8.462,3.239085239,53.87014349
"554",6.113,2.912966252,54.43280835
"555",6.501,3.044905009,55.9339232
"556",6.553,3.048611111,54.63261128
"557",5.867,2.283244681,52.01202119
"558",6.186,3.12593985,52.29216
"559",6.273,3.794457275,54.22323704
"560",5.488,3.484234234,52.34516437
"561",4.198,2.398782344,55.79884484
"562",5.777,2.095477387,51.99775878
"563",5.804,3.481557377,56.51561432
"564",5.327,2.703180212,51.23602714
"565",4.211,2.16152019,58.12686685
"566",8.274,2.116918845,52.55682313
"567",3.958,1.870967742,52.80020333
"568",3.025,2.513274336,50.71599934
"569",1.715,1.711656442,52.50859498
"570",5.171,2.082914573,51.15483082
"571",5.878,2.974358974,54.34599665
"572",6.319,3.013745704,54.34733589
"573",7.481,2.307189542,59.45943013
"574",6.519,2.026515152,53.03753517
"575",8.769,2.006410256,52.6040124
"576",7.332,2.528888889,56.82117381
"577",4.607,2.168067227,54.83327371
"578",7.227,2.332903226,53.07317644
"579",6.056,2.250366032,54.60815858
"580",8.022,2.95482866,57.56943115
"581",5.911,3.256505576,54.72436345
"582",3.539,2.280832095,53.18609891
"583",5.63,1.198928845,52.50833986
"584",8.737,3.422222222,56.88998056
"585",7.533,2.557165862,59.58816252
"586",3.989,2.043202033,54.12662974
"587",3.012,1.719858156,53.12586857
"588",2.16,1.683333333,51.0606158
"589",6.216,3.240776699,53.87894658
"590",2.478,1.075078206,53.55971428
"591",8.229,3.549668874,57.15280234
"592",9.289,3.2,52.63774516
"593",6.73,3.779775281,55.2938772
"594",8.082,3.193359375,57.89738344
"595",4.772,3.330415755,52.4868101
"596",3.312,2.49770291,50.17245134
"597",7.544,2.335832084,57.89757799
"598",3.493,1.92639843,53.73586989
"599",4.204,2.292831106,53.4698112
"600",3.343,3.524271845,57.25989077
"601",6.6,2.285714286,50.88171894
"602",1.286,2.407265774,52.94403964
"603",1.725,1.745918367,55.90493436
"604",5.179,1.813645621,56.07535776
"605",5.746,2.155828221,51.59001394
"606",4.9,3.074394464,51.44764953
"607",3.313,2.791965567,54.92807379
"608",1.978,2.567901235,57.10163951
"609",3.123,3.283549784,56.82460674
"610",3.662,3.264646465,56.13077243
"611",4.402,2.791245791,54.73717263
"612",5.468,2.160714286,51.08688805
"613",3.865,1.738581147,54.02453209
"614",2.84,2.367601246,55.74179598
"615",4.385,2.112469438,52.38348769
"616",8.655,3.735655738,53.45685866
"617",5.696,3.287545788,54.46215366
"618",4.348,3.270103093,53.20961423
"619",4.956,2.041479821,53.8471822
"620",4.505,1.796923077,54.5234877
"621",3.874,3.664670659,56.5186544
"622",4.426,3.107003891,55.98226485
"623",1.198,1.532818533,50.96412823
"624",1.325,2.018348624,59.26431321
"625",4.034,3.054750403,54.70015009
"626",2.653,2.123176661,54.96213696
"627",5.566,2.842748092,53.02512897
"628",6.521,2.44005848,54.61607368
"629",5.006,3.929648241,49.92557518
"630",5.465,1.982394366,53.72040038
"631",3.815,1.795534665,52.77106785
"632",4.499,2.341753343,55.18745829
"633",5.496,2.238764045,51.41581879
"634",5.794,2.885098743,55.20859033
"635",7.091,2.613207547,53.84090551
"636",4.02,3.046210721,51.71052769
"637",6.356,2.891843972,53.82822166
"638",5.578,2.174904943,53.46262329
"639",4.337,3.265135699,52.4069301
"640",3.696,3.344537815,52.7135425
"641",6.322,3.001574803,55.45717767
"642",3.969,2.384020619,53.13703511
"643",5.779,3.766738661,56.57568255
"644",2.725,1.728323699,52.75974443
"645",7.2,2.663093415,50.15269369
"646",1.997,1.778761062,60.52592199
"647",4.649,2.332855093,52.66275949
"648",4.605,2.142461964,53.75630685
"649",2.203,1.898963731,53.54001164
"650",6.767,2.129781421,55.17916017
"651",2.77,1.857962697,55.71165783
"652",3.393,3.615230461,57.31725052
"653",3.097,2.249027237,56.72152169
"654",7.93,3.037848606,56.93271645
"655",1.599,1.428571429,59.22814032
"656",4.488,2.759162304,56.00734816
"657",4.764,4.155813953,54.95764659
"658",0.772,2.038772213,54.96900216
"659",3.699,1.927315358,55.07970331
"660",0.132,0.851351351,52.68273334
"661",2.321,2.570621469,51.73762162
"662",1.985,2.234604106,57.16705986
"663",5.264,2.267882188,53.66792572
"664",2.854,1.085385878,51.48557157
"665",3.294,1.582299421,53.00247329
"666",2.277,2.502617801,59.58263366
"667",3.323,1.492294521,56.41216367
"668",7.187,3.235772358,55.17159052
"669",5.32,2.279835391,55.24343497
"670",2.747,2.099303136,50.85793171
"671",0.422,1.503623188,55.84696269
"672",4.238,2.629757785,53.51031893
"673",2.431,1.56043956,54.58144026
"674",0.707,2.065088757,55.48414165
"675",7.062,3.624434389,51.87156021
"676",0,2.202511774,56.09711257
"677",5.667,1.777267509,54.53413246
"678",2.974,2.193771626,61.07069071
"679",3.134,2.370469799,58.29860484
"680",5.937,3.229813665,55.13891576
"681",5.137,2.42081448,50.5317878
"682",3.656,3.648275862,56.02646109
"683",6.227,2.606980273,52.60459179
"684",5.946,3.514412417,63.35534037
"685",4.841,2.330396476,53.87889389
"686",2.388,3.096676737,55.01427222
"687",5.339,1.948113208,52.38348769
"688",3.039,1.989937107,54.12363698
"689",7.365,1.865825688,55.63788493
"690",2.668,2.278118609,50.45671964
"691",4.805,2.686567164,51.42144176
"692",5.581,3.270212766,56.16263805
"693",3.753,1.761589404,52.53204407
"694",2.164,1.906432749,53.92057109
"695",7.688,3.315384615,60.53534193
"696",8.177,3.114785992,58.55357407
"697",10.299,2.499184339,52.62259432
"698",9.298,3.462321792,60.73848416
"699",6.97,3.034951456,59.94269667
"700",6.609,3.711904762,58.70365901
"701",8.822,2.621118012,58.12513761
"702",10.487,3.944572748,60.43363812
"703",10.753,3.213307241,62.47716047
"704",9.331,2.61682243,62.03623194
"705",12.325,2.776435045,59.97585231
"706",9.372,2.859271523,53.38474263
"707",7.446,3.601809955,58.83159755
"708",9.359,3.02037037,53.87278466
"709",10.043,2.823091248,55.37206847
"710",4.566,3.069033531,53.65602675
"711",4.888,4.589041096,54.45721134
"712",10.241,3.946859903,57.09104237
"713",9.274,3.111317254,57.58487016
"714",10.728,4.240740741,56.65234719
"715",8.212,3.19330855,61.96961281
"716",9.682,3.237903226,55.94022534
"717",10.682,3.325991189,56.81993571
"718",10.143,3.276515152,57.88265854
"719",11.919,3.549356223,57.9389616
"720",8.168,2.861209964,60.74400093
"721",9.228,2.710116732,55.24078752
"722",9.245,3.246628131,58.8191321
"723",8.487,2.416302766,56.3372997
"724",12.085,3.249537893,58.19681486
"725",8.879,3.709756098,57.18263633
"726",7.135,3.455752212,58.84149115
"727",2.831,1.971774194,54.43519244
"728",3.096,1.817073171,55.79871823
"729",7.166,3.64028777,51.70746946
"730",5.846,1.996268657,52.02222927
"731",3.756,2.892578125,54.95480469
